"alaska100","04-11-2021 18:19:44","opened misc section","2"
"alaska15","04-15-2021 13:51:38","entered website","2"
"alaska15","04-15-2021 13:51:42","opened education section","2"
"alaska15","04-15-2021 13:51:44","opened work section","2"
"alaska15","04-15-2021 13:51:53","opened misc section","2"
"alaska15","04-15-2021 13:51:59","clicked notes_up button","2"
"alaska20","04-11-2021 12:46:49","entered website","2"
"alaska20","04-11-2021 12:47:19","clicked misc_up button","2"
"alaska20","04-11-2021 12:49:08","clicked misc_down button","2"
"alaska20","04-11-2021 12:46:57","clicked notes_up button","2"
"alaska20","04-11-2021 12:46:58","opened education section","2"
"alaska20","04-11-2021 12:47:02","clicked education_q button","2"
"alaska20","04-11-2021 12:47:04","opened work section","2"
"alaska20","04-11-2021 12:47:08","clicked work1_q button","2"
"alaska20","04-11-2021 12:47:09","clicked work1_up button","2"
"alaska20","04-11-2021 12:47:10","clicked work2_up button","2"
"alaska20","04-11-2021 12:47:11","opened misc section","2"
"alaska47","04-21-2021 13:57:42","entered website","2"
"alaska47","04-21-2021 13:57:57","opened education section","2"
"alaska47","04-21-2021 13:58:01","clicked education_up button","2"
"alaska47","04-21-2021 13:58:03","opened work section","2"
"alaska47","04-21-2021 13:58:11","clicked work2_up button","2"
"alaska47","04-21-2021 13:58:17","opened misc section","2"
"alaska47","04-21-2021 13:58:21","clicked misc_up button","2"
"alaska47","04-21-2021 13:59:30","opened education section","2"
"alaska47","04-21-2021 13:59:33","opened work section","2"
"alaska6","04-15-2021 05:01:56","entered website","1"
"alaska6","04-15-2021 05:03:17","clicked work2_up button","1"
"alaska6","04-15-2021 05:03:22","opened misc section","1"
"alaska6","04-15-2021 05:03:27","clicked misc_up button","1"
"alaska6","04-15-2021 05:02:21","opened education section","1"
"alaska6","04-15-2021 05:02:27","opened work section","1"
"alaska6","04-15-2021 05:02:51","opened misc section","1"
"alaska6","04-15-2021 05:03:05","clicked notes_up button","1"
"alaska6","04-15-2021 05:03:07","opened education section","1"
"alaska6","04-15-2021 05:03:09","clicked education_up button","1"
"alaska6","04-15-2021 05:03:11","opened work section","1"
"alaska6","04-15-2021 05:03:14","clicked work1_up button","1"
"alaska64","04-11-2021 15:32:34","entered website","1"
"alaska64","04-11-2021 15:33:05","unclicked work2_up button","1"
"alaska64","04-11-2021 15:33:07","clicked work2_down button","1"
"alaska64","04-11-2021 15:33:09","opened misc section","1"
"alaska64","04-11-2021 15:33:12","clicked misc_up button","1"
"alaska64","04-11-2021 15:33:13","clicked misc_down button","1"
"alaska64","04-11-2021 15:33:15","clicked misc_up button","1"
"alaska64","04-11-2021 15:33:16","clicked misc_down button","1"
"alaska64","04-11-2021 15:33:19","clicked notes_down button","1"
"alaska64","04-11-2021 15:33:20","clicked notes_up button","1"
"alaska64","04-11-2021 15:33:22","opened education section","1"
"alaska64","04-11-2021 15:32:37","clicked notes_up button","1"
"alaska64","04-11-2021 15:33:24","clicked education_up button","1"
"alaska64","04-11-2021 15:33:25","opened work section","1"
"alaska64","04-11-2021 15:34:05","clicked work1_up button","1"
"alaska64","04-11-2021 15:34:09","opened misc section","1"
"alaska64","04-11-2021 15:34:12","clicked misc_up button","1"
"alaska64","04-11-2021 15:32:39","opened education section","1"
"alaska64","04-11-2021 15:33:00","clicked education_down button","1"
"alaska64","04-11-2021 15:33:01","opened work section","1"
"alaska64","04-11-2021 15:33:03","clicked work1_down button","1"
"alaska64","04-11-2021 15:33:04","unclicked work1_down button","1"
"alaska64","04-11-2021 15:33:04","clicked work1_down button","1"
"alaska64","04-11-2021 15:33:05","clicked work2_up button","1"
"alaska72","04-11-2021 19:34:22","entered website","1"
"alaska72","04-11-2021 19:34:47","opened education section","1"
"alaska72","04-11-2021 19:35:01","opened work section","1"
"alaska72","04-11-2021 19:35:29","opened misc section","1"
"alaska72","04-11-2021 19:36:31","opened work section","1"
"alaska72","04-11-2021 19:39:31","opened misc section","1"
"alaska72","04-11-2021 19:39:35","opened work section","1"
"alaska72","04-11-2021 19:39:42","opened misc section","1"
"alaska82","04-11-2021 12:50:08","entered website","1"
"alaska82","04-11-2021 12:51:08","clicked work2_up button","1"
"alaska82","04-11-2021 12:51:10","closed work section","1"
"alaska82","04-11-2021 12:51:12","opened misc section","1"
