code,candidate,woman,parent
pants26,2,Woman,Non-parent
pants37,2,Woman,Non-parent
pants47,2,Man,Non-parent
pants55,2,Woman,Parent
pants6,2,Woman,Parent
pants62,2,Woman,Non-parent
pants7,2,Man,Parent
pants79,2,Man,Parent
pants81,2,Woman,Non-parent
pants9,2,Man,Non-parent
pants91,2,Man,Parent
park13,2,Man,Parent
park17,2,Woman,Parent
park19,2,Woman,Non-parent
park2,2,Woman,Parent
park4,2,Man,Parent
park5,2,Woman,Non-parent
park54,2,Man,Parent
park65,2,Man,Parent
park80,2,Woman,Parent
pen15,2,Woman,Non-parent
pen38,2,Man,Parent
pen43,2,Man,Non-parent
pen45,2,Woman,Parent
pen48,2,Woman,Parent
pen6,2,Man,Parent
pen67,2,Man,Parent
pen68,2,Woman,Parent
pen75,2,Woman,Parent
pen81,2,Woman,Non-parent
pen85,2,Man,Non-parent
pencil3,2,Man,Parent
pencil43,2,Woman,Non-parent
pencil44,2,Woman,Non-parent
pencil45,2,Woman,Non-parent
pencil47,2,Man,Parent
pencil52,2,Man,Non-parent
pencil57,2,Man,Non-parent
pencil58,2,Woman,Parent
pencil60,2,Woman,Non-parent
pencil64,2,Woman,Parent
pencil7,2,Man,Non-parent
pencil71,2,Woman,Parent
pencil76,2,Woman,Non-parent
pencil8,2,Man,Parent
phone15,2,Man,Non-parent
phone17,2,Man,Non-parent
phone32,2,Woman,Non-parent
phone34,2,Woman,Non-parent
phone35,2,Woman,Parent
phone47,2,Man,Parent
phone5,2,Woman,Non-parent
phone51,2,Man,Parent
phone55,2,Woman,Non-parent
phone63,2,Woman,Parent
phone69,2,Woman,Non-parent
phone71,2,Woman,Parent
phone77,2,Man,Non-parent
phone79,2,Man,Non-parent
phone83,2,Man,Parent
phone86,2,Man,Non-parent
pink28,2,Man,Non-parent
pink31,2,Man,Non-parent
pink33,2,Man,Non-parent
pink44,2,Woman,Non-parent
pink51,2,Woman,Parent
pink60,2,Woman,Parent
pink64,2,Woman,Parent
pink69,2,Woman,Non-parent
pink73,2,Woman,Parent
pink9,2,Woman,Parent
pink97,2,Man,Non-parent
pink98,2,Man,Non-parent
pizza13,2,Man,Parent
pizza21,2,Man,Parent
pizza39,2,Woman,Parent
pizza43,2,Woman,Non-parent
pizza83,2,Woman,Parent
pizza91,2,Man,Non-parent
planet10,2,Woman,Parent
planet100,2,Man,Non-parent
planet13,2,Woman,Parent
planet20,2,Woman,Non-parent
planet27,2,Woman,Parent
planet49,2,Woman,Non-parent
planet54,2,Woman,Non-parent
planet57,2,Woman,Non-parent
planet69,2,Man,Non-parent
planet73,2,Woman,Parent
planet82,2,Man,Non-parent
planet9,2,Man,Parent
planet94,2,Man,Parent
plant1,2,Man,Non-parent
plant30,2,Man,Parent
plant34,2,Woman,Non-parent
plant43,2,Man,Parent
plant48,2,Woman,Parent
plant49,2,Man,Parent
plant55,2,Woman,Parent
plant61,2,Woman,Non-parent
plant73,2,Woman,Parent
plant77,2,Man,Non-parent
plant81,2,Man,Parent
plant82,2,Man,Non-parent
pond12,2,Man,Parent
pond28,2,Woman,Parent
pond30,2,Woman,Parent
pond31,2,Woman,Non-parent
pond33,2,Woman,Parent
pond42,2,Man,Parent
pond69,2,Woman,Parent
pond80,2,Woman,Non-parent
pond86,2,Man,Non-parent
pond87,2,Man,Non-parent
pond95,2,Woman,Non-parent
pond96,2,Woman,Non-parent
purple2,2,Man,Parent
purple5,2,Man,Parent
purple57,2,Man,Non-parent
purple64,2,Woman,Non-parent
purple69,2,Woman,Parent
purple73,2,Woman,Non-parent
purple74,2,Man,Parent
purple86,2,Man,Parent
purple89,2,Man,Parent
purple94,2,Woman,Parent
rain14,2,Woman,Non-parent
rain22,2,Woman,Parent
rain30,2,Man,Parent
rain54,2,Woman,Parent
rain59,2,Man,Non-parent
rain6,2,Man,Parent
rain66,2,Man,Parent
rain67,2,Woman,Non-parent
rain68,2,Woman,Parent
rain83,2,Woman,Non-parent
red1,2,Man,Parent
red10,2,Man,Non-parent
red17,2,Woman,Parent
red19,2,Woman,Parent
red23,2,Woman,Parent
red29,2,Man,Non-parent
red32,2,Man,Non-parent
red39,2,Woman,Parent
red42,2,Woman,Parent
red62,2,Woman,Non-parent
red69,2,Woman,Non-parent
red79,2,Man,Non-parent
red86,2,Woman,Non-parent
rice22,2,Man,Parent
rice23,2,Woman,Non-parent
rice35,2,Man,Non-parent
rice36,2,Woman,Non-parent
rice45,2,Man,Non-parent
rice46,2,Man,Non-parent
rice47,2,Woman,Parent
rice50,2,Man,Parent
rice55,2,Man,Parent
rice64,2,Man,Parent
rice90,2,Man,Non-parent
rice92,2,Woman,Non-parent
right1,2,Man,Parent
right13,2,Woman,Parent
right36,2,Man,Non-parent
right44,2,Woman,Parent
right61,2,Man,Non-parent
right68,2,Woman,Parent
right79,2,Woman,Parent
right82,2,Woman,Non-parent
right85,2,Man,Non-parent
right87,2,Man,Non-parent
right89,2,Woman,Parent
river16,2,Woman,Parent
river23,2,Man,Non-parent
river32,2,Man,Non-parent
river43,2,Man,Non-parent
river52,2,Woman,Parent
river6,2,Man,Parent
river61,2,Man,Non-parent
river72,2,Man,Parent
river73,2,Man,Non-parent
river74,2,Man,Parent
river75,2,Man,Non-parent
road1,2,Man,Parent
road20,2,Woman,Non-parent
road24,2,Man,Parent
road36,2,Woman,Non-parent
road45,2,Woman,Parent
road82,2,Man,Parent
road88,2,Man,Non-parent
road97,2,Woman,Non-parent
run16,2,Woman,Parent
run22,2,Woman,Non-parent
run23,2,Man,Non-parent
run26,2,Woman,Non-parent
run27,2,Woman,Parent
run29,2,Man,Non-parent
run30,2,Man,Non-parent
run31,2,Man,Non-parent
run32,2,Woman,Parent
run46,2,Woman,Non-parent
run47,2,Woman,Parent
