x,y,b,se,p,n,p_star
9,9,-91.386971,76.416916,.23229799,506,
9,10,-3.7572913,4.2274966,.37454823,506,
9,11,.1648917,.2034951,.41815129,506,
9,12,-.46052077,.81148171,.57062316,506,
9,13,55.139759,41.039181,.17968616,506,
9,14,-129.2305,125.28776,.30281544,506,
9,15,.060301822,.06705711,.36894324,506,
9,16,-.01632653,.015817162,.30247182,506,
9,17,-77.515617,242.32076,.74918544,506,
9,18,.01532567,.015819149,.33310717,506,
9,19,.24521072,.25310639,.33310717,506,
10,0,0,,,506,
10,1,-.067307845,.070593178,.34081361,506,
10,2,161.51048,167.82666,.33632785,506,
10,3,-.03265306,.02232296,.14415723,506,
10,4,0,,,506,
10,5,0,,,506,
10,6,-273.68295,368.73874,.4583036,506,
10,7,118.24555,90.981224,.19430827,506,
10,8,1.3965126,99.077789,.9887597,506,
10,9,741.3233,459.84531,.107563,506,
10,10,6.1885681,6.3276658,.32853484,506,
10,11,.02764876,.044456422,.53426945,506,
10,12,-120.77235,116.98336,.302385,506,
10,13,.55072325,.56986773,.33430484,506,
10,14,-.04998045,.06521631,.44380924,506,
10,15,92.774544,173.15227,.59233493,506,
10,16,-44.131615,42.769608,.30263954,506,
10,17,-.01632653,.015817162,.30247182,506,
10,18,0,,,506,
10,19,0,,,506,
11,0,0,,,506,
11,1,0,,,506,
11,2,0,,,506,
11,3,0,,,506,
11,4,0,,,506,
11,5,0,,,506,
11,6,-1282.9603,601.17487,.033317558,506,*
11,7,-104.56974,468.25122,.82337713,506,
11,8,282.2926,405.83041,.48700467,506,
11,9,62.65078,458.78708,.89143515,506,
11,10,124.06224,137.07469,.36586052,506,
11,11,-118.40982,128.90736,.35876244,506,
11,12,216.33116,191.93307,.26022905,506,
11,13,-235.10304,227.76706,.30246964,506,
11,14,-8.4313078,10.069223,.40280145,506,
11,15,-3.3019626,3.1034651,.28785634,506,
11,16,25.234999,20.08943,.20964967,506,
11,17,-6.5722733,5.7598681,.25439277,506,
11,18,.38314176,.39547873,.33310717,506,
11,19,0,,,506,
