x,y,b,se,p,n,p_star
10,8,16.790497,17.518867,.33828613,532,
10,9,-1.9615384,3.1119463,.52875346,532,
10,10,-1.3470588,1.2269464,.27274868,532,
10,11,.15588236,.094492309,.099600278,532,
10,12,-9.9377832,10.168256,.32884967,532,
10,13,.046153847,.025950592,.07589037,532,
10,14,-.029411765,.021233382,.16658434,532,
10,15,-.36764705,.37605119,.32869264,532,
10,16,0,,,532,
10,17,0,,,532,
10,18,0,,,532,
10,19,0,,,532,
11,0,-57.240044,77.575859,.46092668,532,
11,1,-.18303168,.40045592,.64781648,532,
11,2,-89.46991,91.515762,.32869604,532,
11,3,298.50113,184.44328,.10617354,532,
11,4,-28.626923,93.754295,.7602272,532,
11,5,101.259,375.52502,.78753722,532,
11,6,386.6319,304.67853,.20500411,532,
11,7,-487.07239,374.50211,.19396523,532,
11,8,99.446381,239.9973,.67877477,532,
11,9,251.5233,330.71149,.44726288,532,
11,10,-117.69344,264.62598,.65667915,532,
11,11,-452.1846,304.70148,.13839673,532,
11,12,-.95950228,1.1893588,.42017865,532,
11,13,30.859728,30.458157,.31143442,532,
11,14,312.04614,290.90607,.28390747,532,
11,15,-1.4705882,1.5042048,.32869264,532,
11,16,0,,,532,
11,17,0,,,532,
11,18,0,,,532,
11,19,.015384615,.015040766,.30684012,532,
